Experiment	bias spectroscopy	
Date	21.11.2022 12:31:28	
User		
X (m)	521.149E-9	
Y (m)	-513.365E-9	
Z (m)	-106.678E-9	
Z offset (m)	0E+0	
Settling time (s)	4E-3	
Integration time (s)	8E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-106.684E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	SiC	

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
-696.579E-3	-5.59959E-12	-16.4706E-12	1.71202E-12
-693.842E-3	-6.42586E-12	-16.6764E-12	1.54301E-12
-691.105E-3	-5.79243E-12	-16.5771E-12	1.95899E-12
-688.367E-3	-4.54502E-12	-16.3509E-12	1.67866E-12
-685.630E-3	-2.72236E-12	-16.3398E-12	1.20245E-12
-682.893E-3	-2.31552E-12	-16.5475E-12	1.13831E-12
-680.156E-3	-2.78091E-12	-16.4089E-12	1.24000E-12
-677.419E-3	-5.04608E-12	-16.6152E-12	1.79022E-12
-674.682E-3	-5.30167E-12	-16.4238E-12	2.01576E-12
-671.945E-3	-4.87862E-12	-16.5149E-12	1.79940E-12
-669.208E-3	-3.22266E-12	-16.4512E-12	1.52607E-12
-666.471E-3	-2.37598E-12	-16.7599E-12	1.15334E-12
-663.734E-3	-1.47419E-12	-16.4449E-12	1.27700E-12
-660.997E-3	-2.12593E-12	-16.7153E-12	1.27832E-12
-658.260E-3	-3.17230E-12	-16.6311E-12	1.74403E-12
-655.523E-3	-3.33023E-12	-16.5470E-12	1.91849E-12
-652.786E-3	-2.89574E-12	-16.6231E-12	1.81078E-12
-650.049E-3	-1.96896E-12	-16.5048E-12	1.72951E-12
-647.312E-3	-1.76773E-12	-16.6747E-12	1.22324E-12
-644.575E-3	-1.08929E-12	-16.6169E-12	1.28964E-12
-641.838E-3	-1.49326E-12	-16.4575E-12	1.32421E-12
-639.101E-3	-1.74046E-12	-16.6169E-12	1.35877E-12
-636.364E-3	-2.26059E-12	-16.5308E-12	1.60887E-12
-633.627E-3	-1.68743E-12	-16.4114E-12	1.38667E-12
-630.889E-3	-1.16253E-12	-16.3985E-12	1.41024E-12
-628.152E-3	-946.999E-15	-16.5825E-12	1.22216E-12
-625.415E-3	-696.754E-15	-16.4664E-12	1.19014E-12
-622.678E-3	-764.847E-15	-16.6084E-12	1.14149E-12
-619.941E-3	-839.233E-15	-16.6728E-12	1.11644E-12
-617.204E-3	-1.12400E-12	-16.4212E-12	1.23554E-12
-614.467E-3	-732.613E-15	-16.4543E-12	1.23539E-12
-611.730E-3	-387.955E-15	-16.7320E-12	922.774E-15
-608.993E-3	-412.750E-15	-16.5506E-12	794.841E-15
-606.256E-3	-483.894E-15	-16.6719E-12	895.465E-15
-603.519E-3	-219.154E-15	-16.5847E-12	1.02767E-12
-600.782E-3	-258.636E-15	-16.7600E-12	872.278E-15
-598.045E-3	-399.971E-15	-16.4818E-12	922.830E-15
-595.308E-3	-292.778E-15	-16.4459E-12	880.720E-15
-592.571E-3	-140.190E-15	-16.5752E-12	1.15920E-12
-589.834E-3	-141.335E-15	-16.5175E-12	904.459E-15
-587.097E-3	-242.805E-15	-16.6292E-12	614.001E-15
-584.360E-3	120.544E-15	-16.5734E-12	1.00172E-12
-581.623E-3	21.7437E-15	-16.6484E-12	873.409E-15
-578.886E-3	-158.310E-15	-16.7161E-12	769.526E-15
-576.149E-3	-64.0869E-15	-16.4971E-12	777.747E-15
-573.411E-3	137.901E-15	-16.6101E-12	799.926E-15
-570.674E-3	4.19612E-15	-16.5624E-12	800.526E-15
-567.937E-3	-225.067E-15	-16.5466E-12	732.643E-15
-565.200E-3	83.3511E-15	-16.6583E-12	845.138E-15
-562.463E-3	138.474E-15	-16.5361E-12	719.656E-15
-559.726E-3	-9.15534E-15	-16.4594E-12	808.990E-15
-556.989E-3	-207.138E-15	-16.5728E-12	664.818E-15
-554.252E-3	177.956E-15	-16.4801E-12	490.072E-15
-551.515E-3	86.9751E-15	-16.6052E-12	762.497E-15
-548.778E-3	-41.7709E-15	-16.5672E-12	713.619E-15
-546.041E-3	75.1495E-15	-16.4598E-12	834.166E-15
-543.304E-3	199.890E-15	-16.6194E-12	716.950E-15
-540.567E-3	86.0214E-15	-16.6543E-12	522.814E-15
-537.830E-3	-109.863E-15	-16.5911E-12	558.690E-15
-535.093E-3	143.433E-15	-16.5391E-12	740.603E-15
-532.356E-3	153.351E-15	-16.5532E-12	606.959E-15
-529.619E-3	-71.7162E-15	-16.7276E-12	804.352E-15
-526.882E-3	-151.443E-15	-16.7890E-12	618.222E-15
-524.145E-3	227.737E-15	-16.5908E-12	735.566E-15
-521.408E-3	35.6674E-15	-16.6336E-12	637.537E-15
-518.671E-3	-108.147E-15	-16.6662E-12	850.105E-15
-515.933E-3	74.9588E-15	-16.5121E-12	649.230E-15
-513.196E-3	160.980E-15	-16.5341E-12	586.778E-15
-510.459E-3	-16.7847E-15	-16.4962E-12	639.254E-15
-507.722E-3	-37.5747E-15	-16.6023E-12	735.442E-15
-504.985E-3	250.626E-15	-16.4500E-12	711.582E-15
-502.248E-3	232.124E-15	-16.4655E-12	591.135E-15
-499.511E-3	-61.7981E-15	-16.6589E-12	697.474E-15
-496.774E-3	-18.6920E-15	-16.5498E-12	709.450E-15
-494.037E-3	259.590E-15	-16.5052E-12	592.034E-15
-491.300E-3	-7.82012E-15	-16.4900E-12	806.259E-15
-488.563E-3	-42.7246E-15	-16.4799E-12	447.022E-15
-485.826E-3	28.2287E-15	-16.6129E-12	641.608E-15
-483.089E-3	171.852E-15	-16.6899E-12	637.658E-15
-480.352E-3	-94.6045E-15	-16.6839E-12	783.575E-15
-477.615E-3	-88.6917E-15	-16.5903E-12	896.266E-15
-474.878E-3	232.506E-15	-16.6835E-12	623.279E-15
-472.141E-3	142.097E-15	-16.4824E-12	822.124E-15
-469.404E-3	-84.3048E-15	-16.6461E-12	636.206E-15
-466.667E-3	-40.6266E-15	-16.5413E-12	669.543E-15
-463.930E-3	226.784E-15	-16.6007E-12	697.097E-15
-461.193E-3	16.0217E-15	-16.6905E-12	586.933E-15
-458.455E-3	20.5993E-15	-16.5956E-12	622.551E-15
-455.718E-3	139.427E-15	-16.4503E-12	650.455E-15
-452.981E-3	170.517E-15	-16.5956E-12	858.954E-15
-450.244E-3	2.67027E-15	-16.4534E-12	571.185E-15
-447.507E-3	-63.7055E-15	-16.6108E-12	705.825E-15
-444.770E-3	210.190E-15	-16.5776E-12	568.379E-15
-442.033E-3	98.4191E-15	-16.5796E-12	758.625E-15
-439.296E-3	-40.4358E-15	-16.5203E-12	628.143E-15
-436.559E-3	92.8878E-15	-16.4919E-12	773.376E-15
-433.822E-3	223.541E-15	-16.4636E-12	693.958E-15
-431.085E-3	-30.8990E-15	-16.6680E-12	632.477E-15
-428.348E-3	-61.7981E-15	-16.5560E-12	830.780E-15
-425.611E-3	161.552E-15	-16.6160E-12	759.930E-15
-422.874E-3	148.392E-15	-16.6950E-12	599.317E-15
-420.137E-3	-67.7108E-15	-16.5161E-12	735.458E-15
-417.400E-3	-13.7329E-15	-16.4460E-12	821.113E-15
-414.663E-3	223.923E-15	-16.4893E-12	667.694E-15
-411.926E-3	78.0105E-15	-16.6185E-12	733.940E-15
-409.189E-3	-56.6482E-15	-16.4464E-12	686.396E-15
-406.452E-3	60.4629E-15	-16.5226E-12	860.931E-15
-403.715E-3	277.901E-15	-16.5255E-12	863.212E-15
-400.977E-3	-122.452E-15	-16.5796E-12	655.337E-15
-398.240E-3	62.5611E-15	-16.5194E-12	576.178E-15
-395.503E-3	185.394E-15	-16.6841E-12	811.270E-15
-392.766E-3	134.659E-15	-16.4474E-12	702.088E-15
-390.029E-3	-37.0026E-15	-16.5584E-12	672.863E-15
-387.292E-3	55.8853E-15	-16.5972E-12	690.453E-15
-384.555E-3	231.934E-15	-16.3722E-12	726.432E-15
-381.818E-3	51.4984E-15	-16.4850E-12	573.586E-15
-379.081E-3	-64.8499E-15	-16.4488E-12	720.313E-15
-376.344E-3	132.751E-15	-16.5518E-12	683.223E-15
-373.607E-3	178.337E-15	-16.4051E-12	695.295E-15
-370.870E-3	-46.7300E-15	-16.6612E-12	651.286E-15
-368.133E-3	-47.4930E-15	-16.5201E-12	628.156E-15
-365.396E-3	157.547E-15	-16.6440E-12	604.141E-15
-362.659E-3	163.269E-15	-16.4836E-12	745.874E-15
-359.922E-3	-59.7000E-15	-16.5762E-12	731.530E-15
